Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,154.100006,154.899994,153.830002,154.029999,142.532547,3240200
2017-11-02,154.179993,154.490005,152.910004,153.350006,141.903305,3397600
2017-11-03,153.419998,153.470001,151.490005,151.580002,140.265411,4431800
2017-11-06,151.770004,151.820007,150.279999,150.839996,139.580643,4498400
2017-11-07,151.369995,151.509995,150.500000,151.350006,140.052567,3701100
2017-11-08,151.600006,151.789993,150.279999,151.570007,140.256149,4634400
2017-11-09,149.929993,151.800003,149.860001,150.300003,140.471115,4776500
2017-11-10,150.649994,150.889999,149.139999,149.160004,139.405670,4307300
2017-11-13,148.880005,149.000000,147.919998,148.399994,138.695358,5107500
2017-11-14,147.949997,148.970001,147.490005,148.889999,139.153351,3758000
2017-11-15,148.000000,148.710007,146.210007,147.100006,137.480392,4773300
2017-11-16,147.729996,149.649994,147.500000,149.119995,139.368271,5446500
2017-11-17,149.339996,150.149994,148.830002,148.970001,139.228088,4916500
2017-11-20,150.639999,151.949997,149.899994,150.509995,140.667374,5676500
2017-11-21,151.300003,152.449997,151.199997,151.949997,142.013199,3756200
2017-11-22,152.000000,152.389999,151.330002,151.770004,141.844971,3213600
2017-11-24,151.949997,152.199997,151.330002,151.839996,141.910385,1193000
2017-11-27,152.059998,152.490005,151.619995,151.979996,142.041245,3374000
2017-11-28,152.350006,152.929993,151.699997,152.470001,142.499207,3973700
2017-11-29,152.809998,153.610001,152.169998,153.550003,143.508575,5098700
2017-11-30,153.649994,154.410004,153.080002,153.970001,143.901108,6500800
2017-12-01,154.399994,155.020004,152.910004,154.759995,144.639450,5567900
2017-12-04,155.960007,156.800003,155.070007,156.460007,146.228302,4664300
2017-12-05,156.449997,156.740005,154.679993,155.350006,145.190887,5068000
2017-12-06,154.100006,156.220001,154.089996,154.100006,144.022614,3410700
2017-12-07,153.589996,154.449997,153.259995,153.570007,143.527283,3771100
2017-12-08,154.979996,155.029999,153.550003,154.809998,144.686172,3520300
2017-12-11,155.460007,155.889999,154.570007,155.410004,145.246933,4102700
2017-12-12,157.300003,157.850006,155.160004,156.740005,146.489975,6321800
2017-12-13,156.600006,156.729996,153.889999,153.910004,143.845032,5661600
2017-12-14,154.600006,155.110001,153.699997,154.000000,143.929153,4637400
2017-12-15,153.610001,153.800003,152.029999,152.500000,142.527237,11279900
2017-12-18,153.589996,154.179993,153.210007,153.330002,143.302963,5092800
2017-12-19,154.050003,154.169998,153.089996,153.229996,143.209518,4116400
2017-12-20,153.649994,153.889999,152.779999,152.949997,142.947815,3785700
2017-12-21,153.169998,153.460007,151.490005,151.500000,141.592651,4153900
2017-12-22,151.820007,153.000000,151.500000,152.500000,142.527237,2990600
2017-12-26,152.509995,153.860001,152.500000,152.830002,142.835663,2479000
2017-12-27,152.949997,153.179993,152.610001,153.130005,143.116058,2149300
2017-12-28,153.199997,154.119995,153.199997,154.039993,143.966537,2687600
2017-12-29,154.169998,154.720001,153.419998,153.419998,143.387085,3327100
2018-01-02,154.500000,154.809998,153.539993,154.250000,144.162811,4202500
2018-01-03,157.339996,159.809998,156.330002,158.490005,148.125549,9441600
2018-01-04,159.649994,162.320007,159.369995,161.699997,151.125626,7556200
2018-01-05,162.440002,162.899994,161.100006,162.490005,151.863968,5195800
2018-01-08,162.660004,163.910004,161.699997,163.470001,152.779877,5237500
2018-01-09,163.899994,164.529999,163.059998,163.830002,153.116333,4341800
2018-01-10,162.910004,164.330002,162.500000,164.179993,153.443436,4174100
2018-01-11,164.800003,164.940002,163.300003,164.199997,153.462143,3794500
2018-01-12,164.020004,164.740005,163.029999,163.139999,152.471436,5031900
2018-01-16,165.100006,165.289993,163.350006,163.850006,153.135025,7794200
2018-01-17,168.009995,169.130005,167.259995,168.649994,157.621109,11710000
2018-01-18,170.000000,171.130005,168.149994,169.119995,158.060364,14259300
2018-01-19,164.460007,165.399994,161.300003,162.369995,151.751785,21172500
2018-01-22,161.509995,163.979996,161.110001,162.600006,151.966766,8480800
2018-01-23,162.820007,166.259995,162.509995,166.250000,155.378067,7466200
2018-01-24,166.750000,168.720001,164.820007,165.369995,154.555603,5645000
2018-01-25,165.910004,166.779999,165.190002,165.470001,154.649063,3302500
2018-01-26,166.119995,167.410004,165.789993,167.339996,156.396790,3787900
2018-01-29,167.449997,168.389999,166.009995,166.800003,155.892090,3517000
2018-01-30,166.210007,166.770004,163.160004,163.619995,152.920059,4902300
2018-01-31,163.750000,164.990005,162.759995,163.699997,152.994812,4072800
2018-02-01,163.190002,164.130005,161.899994,162.399994,151.779831,4434200
2018-02-02,161.699997,162.000000,158.869995,159.029999,148.630203,5251900
2018-02-05,157.889999,158.500000,150.000000,152.529999,142.555283,8746600
2018-02-06,150.289993,155.490005,149.110001,155.339996,145.181519,9867700
2018-02-07,154.169998,155.339996,153.279999,153.850006,143.788971,6149200
2018-02-08,152.479996,153.160004,147.500000,147.589996,139.296432,6779100
2018-02-09,148.600006,150.539993,144.399994,149.509995,141.108566,7828300
2018-02-12,150.899994,152.399994,150.300003,151.399994,142.892334,5881400
2018-02-13,150.899994,151.179993,149.639999,150.750000,142.278885,4891000
2018-02-14,150.190002,155.000000,150.000000,154.759995,146.063538,5479000
2018-02-15,155.500000,156.860001,153.699997,156.009995,147.243317,5623600
2018-02-16,155.710007,157.789993,155.690002,156.179993,147.403748,4282900
2018-02-20,155.789993,155.960007,153.869995,155.160004,146.441055,4489600
2018-02-21,155.429993,156.789993,153.899994,153.960007,145.308517,3728600
2018-02-22,154.500000,155.039993,152.789993,153.179993,144.572311,4024600
2018-02-23,154.300003,155.850006,154.070007,155.520004,146.780838,3256100
2018-02-26,155.809998,158.880005,155.509995,158.580002,149.668900,3610300
2018-02-27,158.460007,159.779999,156.529999,156.550003,147.752960,4237300
2018-02-28,157.500000,158.139999,155.800003,155.830002,147.073410,3803500
2018-03-01,155.529999,156.970001,152.789993,153.809998,145.166901,4039300
2018-03-02,152.789993,154.759995,151.880005,154.490005,145.808731,3261100
2018-03-05,154.119995,157.490005,153.750000,156.949997,148.130463,3670600
2018-03-06,157.279999,157.889999,155.160004,155.720001,146.969589,3685700
2018-03-07,155.000000,158.830002,154.729996,158.320007,149.423523,4607700
2018-03-08,159.000000,159.570007,155.070007,156.210007,147.432068,6455600
2018-03-09,157.470001,159.580002,157.300003,159.309998,150.357864,5022200
2018-03-12,159.639999,161.020004,158.869995,160.259995,151.254471,5063500
2018-03-13,160.089996,162.110001,158.809998,159.320007,150.367294,4185600
2018-03-14,160.169998,160.679993,157.740005,158.119995,149.234741,3631800
2018-03-15,158.710007,161.250000,158.520004,159.610001,150.640991,3870600
2018-03-16,160.059998,161.979996,159.639999,160.259995,151.254471,9262700
2018-03-19,159.710007,159.889999,156.449997,157.350006,148.507996,5482000
2018-03-20,157.520004,157.929993,155.289993,156.199997,147.422607,4336700
2018-03-21,156.570007,158.199997,155.919998,156.690002,147.885086,3482200
2018-03-22,155.000000,155.250000,152.000000,152.089996,143.543564,4746300
2018-03-23,152.250000,152.580002,148.539993,148.889999,140.523407,4440900
2018-03-26,151.210007,153.660004,150.279999,153.369995,144.751648,4103900
2018-03-27,153.949997,154.869995,151.160004,151.910004,143.373688,3883700
2018-03-28,152.070007,153.860001,151.889999,152.520004,143.949417,3664800
2018-03-29,153.070007,153.889999,151.080002,153.429993,144.808273,3420000
