Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,137.889999,140.149994,137.600006,139.789993,135.028976,36414600
2017-03-02,140.000000,140.279999,138.759995,138.960007,134.227295,26211000
2017-03-03,138.779999,139.830002,138.589996,139.779999,135.019348,21108100
2017-03-06,139.369995,139.770004,138.600006,139.339996,134.594330,21750000
2017-03-07,139.059998,139.979996,138.789993,139.520004,134.768204,17446300
2017-03-08,138.949997,139.800003,138.820007,139.000000,134.265915,18707200
2017-03-09,138.740005,138.789993,137.050003,138.679993,133.956802,22155900
2017-03-10,139.250000,139.360001,138.639999,139.139999,134.401154,19612800
2017-03-13,138.850006,139.429993,138.820007,139.199997,134.459091,17421700
2017-03-14,139.300003,139.649994,138.839996,138.990005,134.256256,15309100
2017-03-15,139.410004,140.750000,139.029999,140.460007,135.676193,25691800
2017-03-16,140.720001,141.020004,140.259995,140.690002,135.898361,19232000
2017-03-17,141.000000,141.000000,139.889999,139.990005,135.222229,43885000
2017-03-20,140.399994,141.500000,140.229996,141.460007,136.642136,21542000
2017-03-21,142.110001,142.800003,139.729996,139.839996,135.077301,39529900
2017-03-22,139.850006,141.600006,139.759995,141.419998,136.603500,25860200
2017-03-23,141.259995,141.580002,140.610001,140.919998,136.120514,20346300
2017-03-24,141.500000,141.740005,140.350006,140.639999,135.850052,22395600
2017-03-27,139.389999,141.220001,138.619995,140.880005,136.081879,23575100
2017-03-28,140.910004,144.039993,140.619995,143.800003,138.902451,33374800
2017-03-29,143.679993,144.490005,143.190002,144.119995,139.211563,29190000
2017-03-30,144.190002,144.500000,143.500000,143.929993,139.028015,21207300
2017-03-31,143.720001,144.270004,143.009995,143.660004,138.767197,19661700
2017-04-03,143.710007,144.119995,143.050003,143.699997,138.805832,19985700
2017-04-04,143.250000,144.889999,143.169998,144.770004,139.839371,19891400
2017-04-05,144.220001,145.460007,143.809998,144.020004,139.114960,27717900
2017-04-06,144.289993,144.520004,143.449997,143.660004,138.767197,21149000
2017-04-07,143.729996,144.179993,143.270004,143.339996,138.458099,16672200
2017-04-10,143.600006,143.880005,142.899994,143.169998,138.293900,18933400
2017-04-11,142.940002,143.350006,140.059998,141.630005,136.806366,30379400
2017-04-12,141.600006,142.149994,141.009995,141.800003,136.970566,20350000
2017-04-13,141.910004,142.380005,141.050003,141.050003,136.246109,17822900
2017-04-17,141.479996,141.880005,140.869995,141.830002,136.999512,16582100
2017-04-18,141.410004,142.039993,141.110001,141.199997,136.391006,14697500
2017-04-19,141.880005,142.000000,140.449997,140.679993,135.888687,17328400
2017-04-20,141.220001,142.919998,141.160004,142.440002,137.588776,23319600
2017-04-21,142.440002,142.679993,141.850006,142.270004,137.424545,17320900
2017-04-24,143.500000,143.949997,143.179993,143.639999,138.747894,17134300
2017-04-25,143.910004,144.899994,143.869995,144.529999,139.607590,18871500
2017-04-26,144.470001,144.600006,143.380005,143.679993,138.786530,20041200
2017-04-27,143.919998,144.160004,143.309998,143.789993,138.892776,14246300
2017-04-28,144.089996,144.300003,143.270004,143.649994,138.757538,20860400
2017-05-01,145.100006,147.199997,144.960007,146.580002,141.587769,33602900
2017-05-02,147.539993,148.089996,146.839996,147.509995,142.486099,45352200
2017-05-03,145.589996,147.490005,144.270004,147.059998,142.051422,45697000
2017-05-04,146.520004,147.139999,145.809998,146.529999,141.539459,23371900
2017-05-05,146.759995,148.979996,146.759995,148.960007,143.886719,27327700
2017-05-08,149.029999,153.699997,149.029999,153.009995,147.798767,48752400
2017-05-09,153.869995,154.880005,153.449997,153.990005,148.745392,39130400
2017-05-10,153.630005,153.940002,152.110001,153.259995,148.040237,25805700
